Movie,Gross,Gross_log,Budget,Year,Ratings,Genre,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments,Aggregate.Followers
Neighbors,150,5.0106352940962555,18,2014,6.4,8,3279,1,2,2554307,8722,298,693,1424e4
Night at the Museum: Secret of the Tomb,114,4.736198448394496,127,2014,6.3,2,22,3,2,3779254,13535,362,1221,648e4
Nightcrawler,32.3,3.475067230228611,8.5,2014,7.9,10,2766,1,-1,6082510,12522,543,2170,1235e4
No Good Deed,52.5,3.960813169597578,13.2,2014,5.6,10,2130,1,0,608230,895,118,387,1550500
Noah,101,4.61512051684126,125,2014,5.9,1,3567,1,6,13661095,41254,3812,18077,181e4
Non-Stop,91.4,4.515245478460105,50,2014,7,1,3090,1,0,367551,700,19,37,648786
Not Cool,0.0357,-3.3326045901965435,0.6,2014,5.2,8,2872,1,0,5403836,187162,3145,24919,272e4
Ouija,50.8,3.927896354584436,5,2014,4.4,15,2061,1,-4,11724815,30208,2150,4926,13e4
Paddington,76.1,4.33204826486764,55,2014,7.2,8,3303,1,14,2028767,3829,500,665,124e3
Paranormal Activity: The Marked Ones,32.5,3.481240089335692,5,2014,5,15,2867,1,0,105480,352,45,85,11444
Penguins of Madagascar,83.3,4.422448549172797,132,2014,6.8,12,32,1,8,1223790,2934,123,226,47200
Planes: Fire & Rescue,59.2,4.0809215418899605,50,2014,5.9,12,3826,3,0,2117798,2124,485,626,3603e3
Pompeii,23.2,3.1441522786722644,100,2014,5.6,1,2658,1,0,355563,1568,106,267,37e4
Ride Along,134,4.897839799950911,25,2014,6.1,1,2663,1,0,8429023,27484,977,2195,21586e3
Rio 2,132,4.882801922586371,103,2014,6.4,12,3948,2,4,3849768,9783,704,1151,154400
RoboCop,58.6,4.070734696582967,100,2014,6.2,1,3372,1,7,3305047,11733,1077,4319,25e4
Rosewater,3.09,1.128171090909654,5,2014,6.6,9,371,1,1,909596,2214,186,632,112e4
Rudderless,0.0374,-3.286084574561651,5,2014,7.5,8,2872,1,0,827239,3221,89,432,217e3
Sabotage,10.5,2.3513752571634776,35,2014,5.7,1,2486,1,17,3466458,6096,411,977,3678e3
Selma,52.1,3.9531649487593215,20,2014,7.5,9,2179,1,-5,3743181,16782,565,4973,9224
Serena,0.176,-1.7372712839439852,30,2014,5.4,3,59,1,0,3726728,6221,405,1074,1923800
Seventh Son,17.2,2.8449093838194073,95,2014,5.5,1,2875,1,0,23360,36,5,5,804300
Sex Tape,38.5,3.6506582412937387,40,2014,5.1,8,3062,1,0,2757667,3030,418,251,4521e3
Sin City: A Dame to Kill For,13.8,2.624668592163159,65,2014,6.6,10,2894,2,0,5223362,18770,627,2796,862e4
Son of God,59.7,4.089332020398556,22,2014,5.5,9,3260,1,2,943306,3006,325,1401,3185900
Song One,0.0202,-3.902072674574978,6,2014,5.8,3,27,1,0,2426078,9230,184,373,33500
St. Vincent,44.1,3.7864597824528,13,2014,7.3,8,18,1,20,4176181,9463,310,885,269849
Taken 3,89.3,4.492001487882454,48,2014,6.1,1,21,3,6,1544390,2975,136,380,216e3
Tammy,84.5,4.436751534363128,20,2014,4.8,8,3465,1,0,3429055,7682,675,727,727e3
Teenage Mutant Ninja Turtles,191,5.25227342804663,125,2014,5.9,1,3845,1,0,7908038,27312,3439,8533,126e4
That Awkward Moment,26,3.258096538021482,8,2014,6.1,8,2809,1,0,6132551,14539,653,846,11783e3
The Admiral,2.59,0.9516578757114463,9.5,2014,7.1,2,1586,1,3,134353,280,43,308,568e3
The Amazing Spider-Man 2,203,5.313205979041787,200,2014,6.8,1,4324,2,6,386857,4996,233,864,452e4
The Babadook,0.924,-0.07904320734045285,2,2014,6.9,3,147,1,-3,6501107,14139,890,2928,1923800
The Best of Me,26.8,3.288401887516811,26,2014,6.6,3,8,1,3,5546710,15351,535,1271,48231
The Book of Life,50.2,3.9160150266976834,50,2014,7.3,12,12,1,9,5165441,17476,871,3229,10364e3
The Boxtrolls,50.8,3.927896354584436,60,2014,6.8,12,3464,1,5,2545852,3964,378,554,128e4
The Devil's Hand,0.00424,-5.463192009738271,7,2014,4.8,7,3470,1,0,330363,406,52,92,1235e4
The Drop,10.7,2.3702437414678603,12.6,2014,7.1,10,809,1,-1,2897407,5953,153,569,568e3
The Equalizer,102,4.624972813284271,55,2014,7.2,1,3236,1,0,7075635,15858,574,1966,18e5
The Expendables 3,39.3,3.6712245188752153,90,2014,6.1,1,90,3,0,14453673,33092,1336,5005,148e4
The Fault in Our Stars,125,4.8283137373023015,12,2014,7.9,3,3173,1,7,32626778,370552,4752,38363,424e4
The Fluffy Movie: Unity Through Laughter,2.82,1.0367368849500223,28,2014,7,8,432,1,0,10747,4,1,1,818e3
The Gambler,33.6,3.5145260669691587,25,2014,6.1,10,103,1,-2,4790221,4740,454,773,274e4
The Giver,45.1,3.8088822465086327,25,2014,6.5,3,702,1,6,523457,2187,149,565,184100
The Good Lie,2.72,1.000631880307906,20,2014,7.4,3,461,1,10,1303646,3306,211,564,759800
The Hobbit: The Battle of the Five Armies,255,5.541263545158426,250,2014,7.5,2,3875,6,3,3554189,14152,262,1782,2613e3
The Homesman,2.43,0.8878912573524571,16,2014,6.6,3,4,1,2,26528,58,1,8,25748
The Hundred-Foot Journey,54.2,3.9926809084456005,22,2014,7.3,8,2023,1,11,24809,277,12,52,20700
The Hunger Games: Mockingjay - Part 1,337,5.820082930352362,125,2014,6.8,2,4151,3,2,3305417,14684,332,1176,3103e4
The Identical,2.82,1.0367368849500223,12,2014,5,3,3306,1,0,309610,729,97,113,275873
The Imitation Game,91.1,4.511957804265912,14,2014,8.1,9,747,1,9,3047849,11748,253,1237,1923800
The Interview,6.11,1.809926773183504,44,2014,6.7,1,78,1,0,6231191,13331,1265,3430,6619435
The Judge,47.1,3.8522730010223722,50,2014,7.5,10,3003,1,2,1325872,4829,104,378,5563500
The Legend of Hercules,18.8,2.9338568698359038,70,2014,4.2,1,2104,1,0,797229,1606,630,456,1174806
The Lego Movie,258,5.552959584921617,60,2014,7.8,12,3775,1,-2,439159,1847,105,289,469e4
The Loft,5.98,1.7884205679625405,14,2014,6.3,6,1841,1,2,381071,238,27,43,14586
The Maze Runner,102,4.624972813284271,34,2014,6.8,1,173,1,2,3156436,18124,213,2753,4734e3
The Monuments Men,78,4.356708826689592,70,2014,6.1,3,3083,1,0,10649,21,1,0,3849
The November Man,25,3.2188758248682006,15,2014,6.3,1,2776,1,0,1935432,3089,155,567,148e3
The Nut Job,64.2,4.162003210695915,42,2014,5.8,12,3427,1,0,2269032,3046,546,554,112e4
The One I Love,0.512,-0.6694306539426292,0.1,2014,7.1,8,20,1,2,1223891,1309,148,239,226e3
The Other Woman,83.9,4.429625613473161,40,2014,6,8,3205,1,-1,8479994,35071,2233,3479,2731e3
The Purge: Anarchy,71.5,4.269697449699962,9,2014,6.5,1,2805,2,-3,1142295,3895,193,882,49424
The Pyramid,2.75,1.0116009116784799,6.5,2014,4.7,15,685,1,0,4092871,8781,794,2046,42e4
The Rover,1.11,0.10436001532424286,12.25,2014,6.4,10,5,1,0,702,1,0,1,9842
The Salvation,0.005,-5.298317366548036,11.71231056,2014,6.8,3,2,1,0,253631,170,11,58,112e4
The Theory of Everything,35.9,3.580737295494233,15,2014,7.8,9,15,1,8,3226251,18240,261,2104,8204
The Water Diviner,4.19,1.4327007339340465,22.5,2014,7.2,3,320,1,7,3281842,4968,445,2099,1899400
The Woman in Black 2: Angel of Death,26.5,3.2771447329921766,1,2014,4.9,3,2602,2,-6,698,16,1,9,3086
Think Like a Man Too,65.2,4.177459468932607,24,2014,5.7,8,2225,2,0,2063089,5858,336,346,24388e3
Transcendence,23,3.1354942159291497,100,2014,6.3,3,3455,1,0,14141585,36646,1459,6811,5987
Transformers: Age of Extinction,245,5.501258210544727,210,2014,5.8,1,4233,4,0,170909,791,362,230,2814900
Tusk,1.82,0.598836501088704,2.8,2014,5.4,8,449,1,0,473100,670,104,380,180100
Unbroken,116,4.7535901911063645,65,2014,7.2,9,3131,1,0,6637551,19833,815,3403,269e3
Veronica Mars,3.32,1.199964782928397,6,2014,6.8,10,291,1,10,476747,2079,166,232,2536e3
When the Game Stands Tall,30.1,3.40452517175483,15,2014,6.6,3,794,1,0,280566,477,56,82,585e3
Whiplash,13.1,2.5726122302071057,3.3,2014,8.6,3,42,1,2,7750223,17541,631,2760,858e3
White God,0.28,-1.2729656758128873,2.48782027,2014,6.9,3,2,1,11,166612,571,36,70,112e4
Wild,37.9,3.634951112088381,15,2014,7.2,2,1061,1,0,5976092,9343,649,1333,781200
Wild Tales,3.08,1.1249295969854831,3.3,2014,8.2,8,4,1,7,697105,1023,39,429,568e3
Winter's Tale,0.0225,-3.7942399697717626,60,2014,6.2,3,2965,1,0,719976,1312,76,189,181e4
Wish I Was Here,3.59,1.2781522025001875,6,2014,6.7,8,68,1,0,865690,1375,79,67,1818778
X-Men: Days of Future Past,234,5.455321115357702,200,2014,8.1,1,3996,7,3,2285,9,0,1,1028e4
Yves Saint Laurent,0.717,-0.33267943838251673,12,2014,6.2,9,2,1,0,550734,894,44,77,168700
Jurassic World,643,6.466144724237619,150,2015,7.3,1,4274,4,1,9143740,34746,1074,5107,618e4
Avengers: Age of Ultron,458,6.126869184114185,250,2015,7.8,1,4276,2,21,10366624,31552,989,3843,1007e4
Furious 7,350,5.857933154483459,190,2015,7.4,1,4004,7,-17,59056,330,8,39,1189e4
Inside Out,345,5.84354441703136,175,2015,8.6,12,3946,1,2,1438926,4632,262,496,232e3
Minions,325,5.783825182329737,74,2015,6.6,1,4301,2,-2,1341909,1607,764,48,25e4
Pitch Perfect 2,183,5.209486152841421,29,2015,6.7,8,3473,2,1,9214467,39824,998,1987,7336e3
Mission: Impossible - Rogue Nation,171,5.14166355650266,150,2015,7.8,3,3956,5,3,8748596,20352,649,1842,6605e3
Home,177,5.176149732573829,135,2015,6.7,8,3708,1,-2,10341783,24413,1675,3426,507e4
Fifty Shades of Grey,166,5.111987788356544,40,2015,4.2,3,3646,1,9,31859569,49900,13960,9119,946e3
The SpongeBob Movie: Sponge Out of Water,162,5.087596335232384,74,2015,6.1,8,3641,2,0,5536822,29411,1840,1281,184e3
San Andreas,154,5.0369526024136295,110,2015,6.4,1,3777,1,3,12632836,36508,2210,7559,9737600
Mad Max: Fury Road,153,5.030437921392435,150,2015,8.3,1,3702,4,-4,2732371,13030,497,1774,768700
Straight Outta Compton,135,4.90527477843843,28,2015,8.3,9,2757,1,5,848970,12607,237,1560,55618
Insurgent,130,4.867534450455582,110,2015,6.4,2,3875,2,-6,2834800,5664,5746,66,424e4
Spy,110,4.700480365792417,65,2015,7.3,1,3711,1,0,6649290,20750,750,1666,265e3
Trainwreck,105,4.653960350157523,35,2015,6.7,12,3158,1,1,9511288,19903,2581,2955,2014e3
Tomorrowland,93.2,4.534747721691546,190,2015,6.6,12,3972,1,1,999867,4212,66,250,1198e3
Get Hard,90.4,4.504244267398131,40,2015,6.1,8,3175,1,6,10078326,26565,1418,2395,2939e3
Terminator Genisys,89.4,4.493120682179469,155,2015,6.8,1,3758,5,1,84870,265,13,63,3877901
Ted 2,81.3,4.398146016553765,68,2015,6.6,8,3442,2,5,6711914,29903,984,1767,10988e3
Paul Blart: Mall Cop 2,71,4.2626798770413155,30,2015,4.3,1,90,2,15,2389347,8809,935,892,1618e3
Pixels,71,4.2626798770413155,88,2015,5.6,1,3723,1,10,5340100,26134,2007,3717,2466e3
Magic Mike XXL,65.9,4.188138441508461,14.8,2015,6.2,8,3355,2,7,5128288,18475,858,1579,8392e3
The Wedding Ringer,64.5,4.1666652238017265,23,2015,6.7,8,3003,1,-8,4826940,10521,478,755,2284e3
Vacation,54.9,4.005513348515485,31,2015,6.3,2,3411,5,13,2554327,10062,464,871,2347e3
Fantastic Four,52.7,3.9646154555473165,120,2015,4,1,3995,1,20,7560211,24168,3524,7139,881e3
Poltergeist,47.4,3.858622228701031,35,2015,5,15,3240,1,-5,3651828,13998,969,2205,1066
Jupiter Ascending,47.4,3.858622228701031,176,2015,5.5,1,3181,1,0,3920842,10535,565,1668,746e4
The Age of Adaline,42.5,3.7495040759303713,25,2015,7.3,3,2991,1,11,11036701,50002,1005,3525,776e3
Max,41.9,3.735285826928092,20,2015,7,1,2855,1,0,2947239,19201,625,1842,2113
The Longest Ride,37.4,3.6216707044204863,34,2015,7.2,3,3366,1,19,2393017,13291,369,584,324925
The Gift,36.1,3.586292865338835,5,2015,7.6,1,1648,1,11,2513544,6970,270,1105,1655987
The Boy Next Door,35.4,3.5667118201397288,4,2015,4.6,6,2602,1,16,5588384,15144,913,1499,4599e3
Hot Pursuit,34.5,3.5409593240373143,35,2015,5,1,3003,1,2,6964819,26601,1111,1293,163e4
The DUFF,34,3.5263605246161616,8.5,2015,6.6,8,2575,1,2,12792898,56001,2083,4102,6714e3
Woman in Gold,33.3,3.505557396986398,11,2015,7.4,10,258,1,19,6495,82,3,7,675e3
Entourage,32.4,3.4781584227982836,30,2015,7.1,3,3108,1,6,1841293,5879,314,634,788e3
Paper Towns,31.4,3.4468078929142076,12,2015,6.9,3,3031,1,6,2854910,23254,459,1087,4184e3
The Lazarus Effect,25.8,3.250374491927572,3.3,2015,5.2,8,2666,1,7,4442147,10605,691,2739,2007e3
Sinister 2,19,2.9444389791664403,10,2015,5.5,1,2766,2,-38,11037833,36874,1885,4360,5699
Ricki and the Flash,23.5,3.1570004211501135,18,2015,6.1,3,1603,1,25,638374,4018,130,269,1887
Project Almanac,22.3,3.104586678466073,12,2015,6.4,8,2893,1,7,6646785,16041,955,2787,253499
Hitman: Agent 47,16.1,2.7788192719904172,35,2015,5.9,8,3261,1,10,13154873,46684,3565,8578,209e3
Dope,16.8,2.8213788864092133,0.7,2015,7.5,8,2002,1,2,50444,238,3,28,986572
Hot Tub Time Machine 2,12.3,2.509599262378372,14,2015,5.1,8,2880,2,9,11496,194,9,31,1891977
American Ultra,10.9,2.388762789235098,28,2015,6.5,1,2778,1,21,2996539,1874,32,189,155e3
The Gunman,10.6,2.3608540011180215,40,2015,5.8,8,2816,1,3,3098749,4311,341,881,152e4
Mortdecai,7.61,2.0294631718735947,60,2015,5.5,8,2648,1,-2,3850758,13363,453,1276,3045e3
Blackhat,7.1,1.9600947840472698,70,2015,5.4,3,2567,1,4,2409338,6923,340,714,1334e3
Me and Earl and the Dying Girl,6.74,1.9080599249242156,8,2015,8.2,8,34,1,15,4032265,18398,302,1298,2208
The Vatican Tapes,1.71,0.5364933705145685,8.495,2015,4.5,15,420,1,-2,1364537,3824,689,772,3841
Maggie,0.131,-2.0325579557809856,4.5,2015,5.6,3,79,1,10,5085068,14359,600,2468,3744e3
Americons,0.129,-2.047942874620465,4,2015,7.3,3,14,1,0,63724,115,28,14,129e3
Road Hard,0.106,-2.24431618487007,1.5,2015,6.3,3,22,1,14,44963,109,27,42,1188e3
Ant-Man,169,5.1298987149230735,130,2015,7.8,1,3856,1,18,9597644,32558,2672,8359,568e3
Southpaw,49.5,3.901972669574645,30,2015,7.7,1,2772,1,6,11476882,40496,1383,4435,112e4
Ex Machina,25.4,3.2347491740244907,15,2015,7.7,3,1255,1,3,419470,2218,46,239,483e3
The Man from U.N.C.L.E.,34.6,3.543853682063679,75,2015,7.6,6,3638,1,8,5216680,20010,500,2300,1923800
Cinderella,201,5.303304908059076,95,2015,7.1,8,3845,1,2,10164908,22726,4245,5262,483e3
Chappie,31.6,3.4531571205928664,49,2015,7,1,3201,1,8,7384182,23597,786,3481,112e4
Brotherly Love,0.444,-0.8119307165499123,1.9,2015,6.9,8,200,1,0,890619,6352,293,700,1923800
Run All Night,26.4,3.2733640101522705,50,2015,6.6,8,3171,1,3,5671767,10073,480,1712,1235e4
The Second Best Exotic Marigold Hotel,33.1,3.4995332823830174,10,2015,6.6,1,1573,2,26,831044,2427,99,247,1235e4
Child 44,1.21,0.1906203596086497,50,2015,6.4,4,66,1,4,3701061,9325,641,1859,483e3
Aloha,21,3.044522437723423,37,2015,5.5,15,2815,1,13,7119456,18803,1128,2290,568e3
Unfinished Business,10.2,2.3223877202902252,35,2015,5.4,8,2777,1,7,3450614,6823,325,409,112e4
War Room,12.3,2.509599262378372,3,2015,5.4,1,45,1,10,66872,400,67,201,568e3
The Gallows,22.6,3.1179499062782403,0.1,2015,4.4,15,2720,1,-5,659772,2841,431,606,1923800
